"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_05270",-2.0958,6.2579,30.5157
"PA14_05280",-0.751,11.6918,25.1176
"PA14_05290",-0.0703,4.2662,11.0374
"PA14_05300",0.0412,1.0909,4.7313
"PA14_05310",1.6527,4.3395,28.1665
"PA14_05320",4.5458,-4.0633,35.485
"PA14_05330",-3.6625,-22.5784,106.0615
"PA14_05340",-1.3354,-3.5803,18.1271
"PA14_05360",3.4151,-157.093,500
"PA14_05380",0.0096,-0.9657,3.313
"PA14_05390",-0.4112,-3.3323,14.6226
"PA14_05400",0.1006,-4.9346,12.5726
"PA14_05410",-0.0763,-1.1557,5.9725
"PA14_05420",1.1078,-8.1756,18.8831
"PA14_05430",12.2151,-40.0213,108.9553
"PA14_05440",-0.3159,3.9113,-1.3774
"PA14_05450",0.1923,10.9057,6.6019
"PA14_05460",5.1196,167.5969,143.6112
"PA14_05480",-0.7277,8.4167,3.3555
"PA14_05500",0.6358,-0.445,-1.2849
"PA14_05510",-0.8428,-0.5146,0.6764
"PA14_05520",-0.0273,0.2395,3.2473
"PA14_05530",0.1011,0.8043,7.6777
"PA14_05540",-0.2183,3.4362,25.5821
"PA14_05550",-0.3849,3.183,6.8619
"PA14_05560",-0.0595,14.945,-2.0394
"PA14_05580",0.5334,3.3475,-9.4584
"PA14_05590",4.7667,-2.8962,-22.6374
"PA14_05600",0.5096,0.3567,-6.3738
"PA14_05620",0.2376,1.8214,-3.002
"PA14_05630",-1.8848,4.3873,0.756
"PA14_05640",-1.3546,8.131,4.7386
"PA14_05650",-0.201,1.674,-1.8375
"PA14_05660",-0.0218,-0.5793,-1.7
"PA14_05690",-0.0833,0.473,1.0352
"PA14_05700",0.0326,0.3841,-0.9951
"PA14_05740",0.0109,-1.6,1.0216
"PA14_05750",-1.167,10.7708,4.2599
"PA14_05770",1.9291,-9.0728,-13.9773
"PA14_05775",-2.6195,-2.9357,-7.5669
"PA14_05790",0.5949,0.3988,-0.2046
"PA14_05810",-0.7753,2.1053,1.2979
"PA14_05820",-0.5137,0.2538,-4.0156
"PA14_05840",0.0188,-2.3533,-10.3655
"PA14_05850",1.8559,12.9477,-35.1322
"PA14_05860",-0.4344,0.0036,10.5629
"PA14_05870",-0.1006,1.4792,2.8427
"PA14_05880",-0.1609,7.508,-24.0355
"PA14_05890",-1.2813,1.9232,-2.0816
"PA14_05910",-0.5403,-2.2366,-4.436
"PA14_05920",0.0034,-0.0905,-0.4048
"PA14_05950",-0.0113,0.6132,0.2521
"PA14_05960",-0.7106,2.1622,3.3523
"PA14_05970",-0.4391,3.7135,-2.1627
"PA14_05990",-0.5316,2.6354,-3.6918
"PA14_06000",2.2879,-28.4263,-114.1521
"PA14_06010",0.4503,2.9268,-3.4629
"PA14_06030",-0.3389,5.3957,5.6124
"PA14_06040",-0.8451,6.1392,-1.4391
"PA14_06060",0.5667,5.1276,-1.8264
"PA14_06070",0.0436,0.3749,0.4451
"PA14_06080",-0.0041,1.9857,1.0492
"PA14_06090",0.6681,3.3206,8.8673
"PA14_06120",0.5953,-2.4593,-5.9756
"PA14_06130",0.4494,-2.8404,-27.1075
"PA14_06150",0.0281,3.612,-1.3841
"PA14_06160",-1.8323,5.2305,4.6861
"PA14_06170",-0.27,1.4743,1.2961
"PA14_06180",-0.3807,2.7373,2.1511
"PA14_06190",0.0726,-0.0222,-2.8904
"PA14_06200",0.2632,1.2891,1.106
"PA14_06210",1.6198,17.0793,-0.5426
"PA14_06230",-0.0505,3.3149,-3.0256
"PA14_06240",0.0234,-2.0376,-0.5643
"PA14_06250",0.1586,10.1464,2.6849
"PA14_06260",-0.0694,1.1625,-0.1315
"PA14_06270",-0.3402,2.4903,-8.9854
"PA14_06280",0.3191,1.0097,-8.1177
