"","MOCP_0110:ara:0.50000%:PA14_c26:270min:A","MOCP_0110:ara:0.12500%:PA14_c26:270min:A","MOCP_0110:ara:0.03125%:PA14_c26:270min:A","MOCP_0110:ara:0.00000%:PA14_c26:270min:A","MOCP_0110:ara:0.50000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.12500%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.03125%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.00000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.50000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.12500%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.03125%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.00000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.50000%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.12500%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.03125%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.00000%:PA14_lpxC_c165:270min:A"
"PA14_38130",-0.7583,-0.3291,0.2984,0.4845,-1.2904,-0.8369,0.3474,0.0813,-0.9061,-0.7841,-0.1698,0.6451,0.1439,0.6251,0.523,0.9915
"PA14_38140",-2.4698,-0.0683,0.1387,0.3335,-4.234,-0.6367,-1.5237,-0.8843,-1.7506,-0.5651,-0.3134,0.0352,0.7371,1.1461,2.2013,1.1616
"PA14_38160",-1.2085,-0.0571,-0.5137,1.0114,-0.6254,0.8095,-0.4527,-0.7083,-1.2769,-1.0765,0.0858,-0.4864,-2.7973,-1.1117,0.2921,0.4622
"PA14_38170",-2.0752,0.1829,-0.1494,1.0179,-2.1502,-1.2626,-0.3553,-0.3389,-3.1097,-3.0688,-3.4844,-2.0389,-5.9706,-3.8973,-3.6265,-2.5804
"PA14_38180",-0.7451,0.3622,-0.407,0.4403,-0.7323,-0.936,-0.6256,0.342,-1.4431,-0.2998,-0.4875,0.7273,-0.5743,1.6275,1.0098,0.9301
"PA14_38190",0.2269,0.0785,1.0016,1.0517,-1.2606,-1.229,-3.8453,-1.3509,0.7127,-0.0572,-0.5326,-0.1767,0.1061,1.4896,0.9927,0.6137
"PA14_38200",1.1692,-0.1222,0.322,-0.0479,1.3181,-0.9328,-0.3815,-0.3594,2.3455,0.7794,0.5019,0.5444,1.7369,1.2583,-0.1718,1.2833
"PA14_38210",0.0305,0.6969,-1.0853,0.0524,0.2999,0.2646,0.414,-1.1617,1.5844,1.4593,0.5865,0.8998,0.9391,1.4669,-0.2298,0.578
"PA14_38220",0.0825,-1.2012,0.6015,0.5446,-1.03,-3.5926,-0.9785,-1.5637,-0.0286,-1.4932,-0.2069,-2.1582,-1.277,-1.8846,-1.6683,0.7515
"PA14_38250",1.975,0.4985,0.2137,-0.5091,0.299,1.4921,-1.1417,0.4136,0.4138,0.124,0.7761,0.4984,0.3948,-0.4327,0.1963,1.151
"PA14_38260",0.3132,-0.8532,0.449,-0.8854,-2e-04,0.1227,0.1361,-0.1918,0.0631,-0.0765,-0.9741,0.0362,0.4966,0.3033,-1.0345,0.3969
"PA14_38270",1.7314,-1.3048,-0.5093,-0.3488,1.1973,1.129,1.0725,-1.3364,3.6429,1.205,-0.2271,0.1072,1.3302,1.2428,1.0562,0.4549
"PA14_38290",-0.1932,-0.1419,-0.81,-0.2052,-0.1408,0.3889,0.193,0.5142,0.2097,0.3782,0.303,0.0256,0.0185,0.4079,0.5549,0.4936
"PA14_38300",0.5972,-0.4653,-0.6515,0.5376,0.2384,0.3689,-0.8586,-1.4952,1.4263,0.974,1.6955,2.7627,2.1226,1.1151,1.2163,3.7671
"PA14_38310",0.3175,-0.7939,-0.1207,-0.3792,0.248,-1.8487,-0.9419,-1.3931,-0.5212,-1.0432,-0.9263,0.1639,0.2139,-0.0626,0.1981,1.4529
"PA14_38320",0.9945,0.8832,0.1151,0.0877,1.4006,1.6363,1.5112,1.1164,1.1571,1.7568,1.397,2.1641,1.2944,0.8367,1.918,1.115
"PA14_38330",0.2681,0.3486,0.7803,-0.7218,-0.5953,-2.439,-3.0522,-2.3727,0.4594,-1.1121,-0.6443,0.3228,2.9872,-0.3355,-0.7033,0.9543
"PA14_38340",0.7818,-0.5161,0.1883,-2.6028,1.5543,1.165,0.3004,-2.1827,1.9398,1.5624,0.586,-1.1668,1.9399,1.5919,0.4483,-1.4498
"PA14_38350",-1.0348,-0.2426,1.1637,-0.7626,-2.3293,-2.1828,-4.2096,-1.5275,1.0456,3.3542,2.0473,0.721,-0.1551,0.3046,2.2291,-2.444
"PA14_38360",0.3613,0.0055,0.0934,-1.0141,-0.183,0.0266,0.3348,0.0777,0.6451,0.7053,0.8331,-0.0995,0.4238,0.139,0.8873,1.694
"PA14_38370",-0.2361,-0.6447,1.0052,-0.1074,1.3657,-0.9994,1.0661,0.309,3.2324,2.6539,2.8761,1.6523,1.9959,2.7258,1.8282,-0.0518
"PA14_38380",0.9085,-0.4062,-0.0162,-0.2222,-0.3117,-0.4698,-1.128,-2.3494,1.4351,1.1945,0.7324,-0.6553,4.4283,2.0542,-0.0938,-0.3437
"PA14_38395",-0.002,1.2963,-0.3377,-0.1696,-0.4106,-3.1234,0.798,0.5844,2.3798,2.7209,0.7597,-0.2471,6.8752,4.3488,1.9162,2.3309
"PA14_38410",0.7299,1.2782,-0.7952,-0.2651,0.6888,0.0102,0.6368,0.5311,5.234,4.9589,4.7417,2.7968,7.9461,5.9829,2.2787,3.833
"PA14_38420",2.7888,-0.4792,0.331,-1.0469,4.972,3.3852,0.3243,0.9489,5.6011,4.5873,3.4654,3.3897,5.8709,5.6168,4.2203,2.8638
"PA14_38430",-0.3895,0.2603,0.3556,-0.0574,2.7717,2.7803,1.1276,2.0127,2.0596,4.0659,4.1338,3.5897,3.7151,4.2781,4.7066,1.9481
"PA14_38440",1.4777,-0.5726,0.8148,-0.0372,2.8194,4.9938,3.3409,4.7599,2.1861,3.6592,4.8781,4.8144,2.2103,2.0788,2.5812,-0.0945
"PA14_38460",0.4545,-0.2926,0.0723,-0.8373,-4.8189,-4.383,-3.8781,-4.1072,-9.3158,-8.5674,-7.6813,-9.333,-8.854,-11.0276,-11.8127,-12.7405
"PA14_38470",-1.1719,1.01,-0.9415,-0.192,-3.5184,-4.884,-8.0214,-5.2376,-4.5653,-2.6382,-4.9564,-5.3747,-1.9387,-3.9727,-3.7069,-4.8371
"PA14_38480",0.8343,-0.193,0.0948,-0.9149,-1.8735,-1.2974,-2.7576,-3.4338,-0.1937,0.1018,-1.9496,-2.2845,1.1947,0.2888,-0.767,-1.136
"PA14_38490",1.4913,-0.2197,0.0194,-0.7156,0.1082,-1.1786,-0.7986,-2.2958,2.0404,1.5464,-0.3382,-1.0993,2.9521,1.8859,0.9897,-0.5167
"PA14_38500",-0.7823,1.7882,-0.5545,0.5818,-2.6595,-2.9903,-0.9326,-0.0226,-2.4144,-3.0103,-0.798,-1.5929,-1.0511,-3.2104,-2.6679,-0.5371
"PA14_38510",-0.2259,-1.1488,0.1108,0.3008,-3.4491,-2.9347,-0.6721,2.4287,-0.25,2.2147,2.4078,3.3936,-2.08,-1.0895,-0.6423,-2.2645
"PA14_38530",-0.5602,0.2099,0.8698,-0.3419,-6.5649,-3.9532,-4.4877,-1.2894,-1.9911,-1.2784,-1.5548,-2.8507,-1.8012,-3.9966,-3.0548,-3.6345
"PA14_38550",-1.8359,-0.637,-2.4505,-0.0827,-16.5337,-13.6507,-11.6609,-9.7625,-3.8521,-5.3994,-5.5784,-4.2953,-2.6772,-3.5115,-3.5502,-3.951
"PA14_38560",-0.766,-1.0215,-0.6437,-0.9702,-13.4079,-11.8093,-10.4426,-6.9164,-3.6993,-5.4768,-4.8553,-4.1124,-0.607,-3.8252,-4.599,-1.9167
"PA14_38570",1.1237,1.2055,0.9818,-0.4524,-1.016,-2.9239,-0.8968,-1.902,0.5533,-1.309,-0.0088,-1.6894,-1.4111,-1.5767,-1.2138,-2.1886
"PA14_38580",0.5683,0.5268,1.2692,-0.164,-0.9129,-0.5196,0.6579,-0.7192,0.5348,0.0507,-0.6326,1.2989,1.6247,1.2755,0.7225,1.0108
"PA14_38590",1.1436,0.9907,-1.2099,0.1614,1.1499,-0.3507,-0.0297,0.5116,2.377,-0.048,2.1596,1.988,1.3564,2.1333,0.8496,2.7577
"PA14_38610",-0.7295,0.4903,-0.4748,0.8344,-4.5413,-3.9558,-3.128,-3.6701,-2.7756,-2.5984,-2.6014,-3.2929,-2.2745,-3.6496,-2.7147,-2.2726
"PA14_38630",-0.8705,0.4875,0.1817,0.9437,-5.4758,-4.9087,-2.8693,-2.1251,-5.1153,-4.6555,-4.6559,-5.227,-6.6887,-6.4303,-7.0935,-7.3197
"PA14_38640",0.0411,-1.4417,-0.0068,-0.3125,-3.9284,-4.4887,-1.9623,-0.8954,-4.9383,-2.3237,-0.2302,-0.8196,-10.256,-8.6633,-7.4908,-7.4666
"PA14_38660",-0.4019,-0.1369,-1.5399,0.2338,-1.5614,-2.1065,-2.259,-0.3258,-0.4242,1.0963,1.5692,1.2972,-1.1864,-0.7104,-0.8642,-0.7955
"PA14_38680",1.1342,0.1616,0.1791,-0.5828,0.0262,-0.9433,-1.8555,-1.9602,0.508,0.7692,0.3311,0.1096,0.845,-0.3182,-0.7128,-0.3061
"PA14_38690",1.016,0.5314,0.2131,0.016,2.9032,0.2164,0.9543,0.7972,3.5437,2.2261,0.1791,2.0886,2.418,3.7508,1.5564,4.3406
"PA14_38700",2.1576,-0.4757,0.1977,-2.313,0.4304,3.8412,-2.6487,-1.8223,2.3332,3.6701,2.4417,-3.2254,5.2911,-1.6048,0.1978,0.7042
"PA14_38710",0.2162,0.7992,-0.1711,-0.1808,0.3511,1.0186,-1.0575,-2.029,1.2039,0.5905,1.202,0.0488,2.5096,-1.0147,-0.4635,-0.3185
"PA14_38720",-0.2185,0.0466,0.6634,0.1317,-0.1265,-0.3279,-0.3956,-0.6654,-0.6178,-0.1859,0.6231,0.5969,0.3717,-0.796,-1.3089,0.0856
"PA14_38730",-1.2656,-0.878,-0.3461,-0.7239,-2.6072,-3.0218,-3.0615,-2.6204,-2.2486,-3.8939,-1.7485,-2.9589,-1.9735,-2.4677,-4.0999,-2.1699
"PA14_38740",0.4165,-0.5229,1.0509,-2.1986,-2.6447,-1.5225,-0.2126,-4.6596,0.328,-0.567,-2.8974,0.3446,-0.0331,-1.3295,-1.386,-1.7037
"PA14_38750",0.4587,-0.4002,-0.0733,-1.0926,-0.113,-1.5747,-2.2765,-2.2055,-1.005,-2.3566,-1.4184,-1.694,-0.7845,-2.1652,-2.5087,-1.352
"PA14_38770",1.5726,0.4506,-1.0351,-0.4383,1.4563,-1.1609,-0.2805,0.191,2.65,2.7522,0.8127,1.6122,2.5182,1.8997,0.0103,2.0932
"PA14_38780",0.7521,0.5698,-1.4654,-0.1033,0.2611,-1.2508,1.1152,0.866,1.0258,0.8173,1.104,-0.4905,2.2277,-0.119,-0.4796,-0.9917
"PA14_38790",0.9815,-1.1372,0.6496,-0.0018,2.405,0.0691,0.6489,-1.084,1.9103,1.5397,0.2083,-0.614,1.9533,1.328,0.873,-0.5357
"PA14_38800",0.846,-1.5622,0.6314,-0.3227,1.2425,0.4139,0.3326,0.0461,1.3521,1.1407,1.1451,-0.5722,0.6397,0.8025,-0.4637,-0.011
"PA14_38820",1.7354,-0.5566,0.3528,-1.4895,0.828,0.6246,5e-04,-2.2996,2.319,1.4879,1.2485,0.4144,1.9875,1.7368,1.668,0.9026
"PA14_38825",-0.1429,0.0799,-0.8305,-0.0904,-0.2735,-0.0034,0.1696,-0.9162,2.7881,3.088,2.6086,1.7759,2.6314,1.937,1.8603,0.884
"PA14_38840",0.6028,0.1008,0.2035,0.1205,0.5558,0.8248,1.6858,0.8009,2.6051,1.6572,2.2323,2.9498,2.056,3.2022,1.9178,2.4773
"PA14_38850",7.4569,-1.1541,-4.5028,0,4.4361,7.5008,5.6057,4.4116,8.3818,7.9179,8.2248,9.9065,4.5593,5.4998,5.7223,12.5729
"PA14_38860",2.3958,0.1299,0.496,-0.4329,0.6219,2.5381,0.5711,1.7389,3.3411,2.3206,2.1779,3.0267,1.8595,1.5546,1.391,4.5449
"PA14_38880",0.6481,1.3573,-0.2727,-1.4388,-0.6502,1.6256,-1.2679,-0.5404,0.0724,-0.1406,1.3278,1.0978,1.2362,1.4179,-0.7024,2.0687
"PA14_38900",-0.1269,-0.413,-0.2313,0.2833,0.0672,-0.586,-0.7256,-0.4504,2.7503,0.6453,-0.0517,0.924,1.0853,2.0301,-0.245,2.0371
"PA14_38910",1.6708,0.1566,0.2294,-1.6625,1.3871,1.3649,-1.3272,-1.3579,3.0426,2.8985,2.2809,4.5721,2.8433,1.1235,-1.3081,4.4652
"PA14_38920",2.2178,-0.8724,0.4478,-0.3312,2.2359,0.0736,0.6102,0.8684,0.4627,0.2049,0.8866,2.3342,1.2582,-1.7674,-0.1165,0.0653
"PA14_38930",0.8803,0.6887,0.3417,0.1905,0.6684,-0.2912,-1.5605,-0.188,0.0532,-0.5744,-1.5014,-1.027,0.6718,-0.512,-1.4005,-0.8077
"PA14_38950",0.6062,0.1693,-0.0976,-1.1203,1.0972,0.2854,1.9183,1.2715,0.5002,-0.1924,-1.3035,0.9309,0.085,-0.155,-0.7376,0.4448
"PA14_38970",0.3994,0.4693,-0.1213,-0.4863,0.1402,-0.5018,0.6752,0.6195,0.6398,1.18,-0.2331,2.0536,1.0831,0.1659,0.8236,1.8193
"PA14_38990",1.2161,0.1411,0.2974,-0.1553,-0.8411,-0.8141,0.4343,0.3768,1.4164,0.621,1.4972,0.5442,2.0383,0.7798,0.0303,2.7073
"PA14_39000",-0.017,0.0624,0.0756,-0.7907,-0.0645,0.2514,-1.495,-2.0485,1.2662,0.3129,-1.2875,0.1378,1.7577,1.3664,-0.9207,2.7725
"PA14_39010",0.9559,-0.0775,-0.9558,-1.0193,-0.2483,-0.1376,-1.128,-0.9502,1.3452,0.2786,0.2251,-0.4973,1.2132,0.298,-0.7306,1.1296
"PA14_39020",-0.2369,0.8646,-0.8658,0.0746,0.2925,-1.837,0.8116,2.4929,3.4799,1.4997,-0.9877,4.6939,1.5761,1.1725,3.032,5.5483
"PA14_39050",-0.2219,-1.068,-0.3414,-1.5024,-3.8587,-5.0076,-3.0742,-3.118,-5.35,-7.5542,-6.6748,-8.2122,-12.7754,-11.0367,-10.9225,-7.219
"PA14_39060",-0.7689,-0.3491,-0.3169,-0.5132,0.0466,-0.0125,0.0901,-0.3022,-1.0683,-0.1666,-0.9675,-0.7802,-1.9693,-1.0082,-0.7045,-0.823
"PA14_39070",-0.8,-0.0445,-0.6944,0.5692,0.4959,-1.0768,-0.6757,0.4951,2.189,1.151,1.6755,0.3282,0.7806,-0.6833,0.0442,0.966
"PA14_39080",0.4871,0.0242,0.1019,-0.5779,-0.0839,-0.9557,-1.0267,-0.0543,1.4511,1.7726,0.8424,0.2284,1.4094,1.014,0.5851,1.2779
"PA14_39090",0.8083,0.9372,-1.3833,0.3592,-0.9225,2.8087,-0.1983,2.7964,1.5412,0.0776,1.7926,-0.6287,3.3482,1.4075,1.0853,3.633
"PA14_39100",0.4435,0.2529,-0.7727,-0.4592,-0.1528,0.3471,0.2049,0.571,0.6246,-0.592,-0.5842,-1.6827,-0.7218,-2.0098,-0.7677,-1.5272
"PA14_39110",0.7518,0.1892,0.3697,-0.2198,-0.9999,-0.2706,0.1497,-1.2536,0.045,-1.2803,0.0972,1.276,-0.4773,0.1199,-0.9954,-0.0117
"PA14_39130",-0.3423,0.2025,-0.0127,1.2054,-8.7635,3.1688,0.5503,0.3615,-12.5234,-9.4423,-4.1611,-6.0945,-12.0678,-6.6307,-5.1657,-4.3356
"PA14_39140",-0.9296,0.5363,-0.3069,0.1769,3.8294,1.8788,0.1568,1.7536,3.0074,0.749,3.1299,1.5439,5.1318,0.7273,1.5368,1.3083
"PA14_39150",0.6875,0.3501,0.5371,0.6896,0.1264,-0.3264,-0.2873,0.3473,1.633,1.113,0.4089,1.1461,1.009,1.5814,0.8032,0.9529
"PA14_39160",1.092,0.5678,-0.3162,0.2982,-1.009,-1.5212,-2.1919,-0.7307,-0.5564,-0.9254,-0.7277,-1.6018,0.0399,-3.1876,-0.573,-0.081
"PA14_39180",-0.7671,0.2022,0.0352,1.6254,-2.0559,-1.691,-1.3546,-0.8085,-0.7882,-1.5826,-1.2738,0.0041,-1.9338,-1.0452,-1.1668,-1.8946
"PA14_39190",-2.4466,0.1045,-0.0491,1.4278,-4.1289,-1.9433,0.0048,0.666,-2.7616,-0.3624,0.8509,-1.4685,-4.5418,-4.0505,-2.7095,-2.7409
"PA14_39200",-0.3511,0.9028,0.0395,0.3907,0.5637,-0.4194,-1.1947,-1.94,0.6529,-0.6736,-1.5136,-1.5169,-0.5175,-0.3209,-0.876,-0.0405
"PA14_39210",-0.2439,-0.434,-0.6702,-0.6447,-0.2187,-0.4086,-1.01,-0.5101,-1.6016,-1.5948,-0.8171,-0.1007,-1.5311,-2.0513,-2.2785,0.0425
"PA14_39220",-0.1769,-0.0952,1.0012,0.223,-0.6439,-0.228,-0.7634,-0.7226,-0.2893,-1.3501,-1.4014,0.426,-1.4301,-1.6729,-1.453,1.0819
"PA14_39230",0.4588,0.6745,0.4257,0.234,-0.0388,-0.2204,-0.6745,-0.4414,0.8182,0.0131,0.3856,1.566,0.2526,0.4976,0.0788,1.6139
"PA14_39240",0.6067,0.1274,1.1737,-0.031,-0.2438,-0.9175,-0.8082,1.0863,0.4417,0.8583,0.6365,1.2144,0.453,0.7556,-0.9942,2.3613
"PA14_39250",0.239,0.3388,-0.4691,0.1397,-0.5281,-0.2543,-0.9876,0.2227,-0.0169,0.0937,-0.9791,1.3118,0.4452,-0.1698,0.0507,2.5657
"PA14_39260",1.839,-0.1541,1.5909,-0.8937,-0.7552,0.4831,1.1123,-1.1087,2.6396,2.0708,0.6006,0.517,1.2225,0.5863,0.56,3.875
"PA14_39270",1.2234,-0.5244,-0.0323,-0.447,0.9074,1.3896,0.5221,1.0058,1.5611,0.738,1.1351,2.5206,1.9282,1.6354,1.8239,2.0562
"PA14_39280",-0.1591,0.6824,-0.066,-0.2539,-2.5085,-1.7349,-2.095,0.0305,-1.0492,-1.2064,-2.4664,-1.0629,-0.9695,-1.6017,-2.7297,-0.8049
"PA14_39300",-0.6492,0.461,-1.1655,0.2948,-2.7646,-1.9075,-1.5039,-1.2004,-1.4557,-2.9426,-1.482,-1.2679,-0.9392,-2.2284,-3.0745,-2.2758
"PA14_39320",-0.1853,0.6331,-3.8834,1.4814,-1.0402,0.6938,0.6531,1.3388,-2.3319,-0.587,-0.4041,-0.1852,-2.6899,0.0867,-1.8606,-1.3572
"PA14_39330",0.5389,0.802,0.1895,-0.0971,1.2551,0.6836,2.1205,1.5906,0.2465,0.6581,0.4736,0.3252,0.7166,1.5897,0.8119,2.0799
"PA14_39350",1.7665,-0.1968,-0.1249,-1.1481,2.5223,1.3685,0.6374,0.3398,2.4895,2.1398,1.1263,0.8868,3.2349,2.7812,1.9195,1.4351
"PA14_39360",0.8711,0.606,0.3582,0.4544,-0.0201,0.8322,0.4994,-0.1085,1.8056,1.3698,-0.3301,1.3718,-0.3092,-0.3237,-0.0979,0.9657
"PA14_39390",0.6426,0.6358,0.0022,-0.3776,0.898,0.8643,-0.8096,-0.3812,1.7696,1.7117,0.7226,1.2649,1.5589,1.0841,0.9233,1.3503
"PA14_39410",0.6447,-0.8948,1.4619,0.0977,0.5803,1.6045,0.156,-1.0697,1.4944,0.9029,0.1332,0.2422,2.962,1.1456,-0.4214,0.3122
"PA14_39420",0.1143,0.4029,0.1693,0.1439,0.6041,2.2294,0.6216,0.376,0.4474,-0.0887,0.3249,0.516,1.1472,0.0685,0.6853,0.5796
"PA14_39440",0.5191,1.1213,0.2266,-0.1888,2.5017,4.2417,1.8265,0.2177,7.8874,3.2285,3.9811,5.4076,10.4126,7.8183,8.3706,7.8535
"PA14_39460",-0.5902,0.4217,-0.4893,0.0427,-0.643,-0.2914,-0.1334,-0.4648,-0.789,-0.159,-0.1241,-0.0285,0.2326,-0.7392,-0.5906,-0.3352
"PA14_39470",-1.4846,-0.0475,-0.4763,-0.151,-2.3286,-2.4419,-1.2378,-1.7479,-2.8394,-1.7846,-2.0616,-1.625,-2.3434,-1.8512,-0.8061,-1.7391
"PA14_39480",1.0925,-0.6927,0.1882,0.3011,-0.4316,-0.019,-0.9037,-0.3866,0.2577,0.398,0.0904,-0.495,2.0387,1.8632,4.0925,2.1848
"PA14_39500",0.0899,-1.4154,-0.0832,0.0311,-1.3696,1.0986,-0.5705,2.1039,0.1285,1.8231,2.5893,1.9321,1.5016,3.6952,1.6992,6.35
"PA14_39520",0.4828,0.0189,0.5696,0.1535,-0.3041,-0.1555,0.7739,-0.4508,1.2367,-0.1145,0.0853,0.0341,0.5609,0.4684,0.2547,0.8504
"PA14_39530",1.7394,0.4297,-0.8182,-0.5591,1.7609,0.0822,3.4541,1.9504,3.0687,2.9233,0.6711,4.8291,3.1577,1.7335,1.6782,5.0026
"PA14_39540",1.1769,0.4254,-0.1274,-0.3389,1.704,2.4857,-1.2595,1.4395,3.9963,2.6632,2.6291,3.8625,4.8944,4.1912,2.1178,5.9906
"PA14_39560",0.9059,-0.534,0.0132,-1.1304,1.1963,1.5712,-0.1902,-1.3625,2.6603,2.0289,0.9018,0.3205,2.629,1.8132,0.8124,0.3774
"PA14_39570",-0.3283,-0.6482,-0.1013,0.1891,-1.2365,-0.9301,0.5674,-0.8137,0.4813,-0.6721,-0.6115,0.4301,-0.685,-0.4046,-1.5512,0.0942
"PA14_39580",0.3178,2.4979,0.5205,0.9817,0.07,0.8155,2.7459,-0.3524,0.9697,0.2234,-0.1107,1.3538,0.1481,-0.0563,0.5295,4.2518
"PA14_39590",-0.0537,1.3255,-2.1156,-0.4141,0.9237,-1.3349,2.1521,-1.0142,-1.1381,-3.7661,-0.1775,2.2922,-0.9939,-3.1827,-4.0691,1.8225
"PA14_39610",-0.8966,-0.9846,-0.2105,0.5679,-1.9028,-1.4256,-0.6858,-0.9904,-2.8265,-3.4975,-2.9708,-3.0386,-2.6433,-2.3195,-1.6529,-1.5292
"PA14_39620",0.4458,0.235,-0.4855,-0.2485,-0.9464,-0.448,0.7359,-0.6722,-0.3594,0.2254,0.1705,1.2158,-0.3942,2.056,-0.2355,1.5835
"PA14_39630",6e-04,-0.1772,0.0896,0.0033,-0.6745,-0.3461,0.1289,0.2048,0.1956,0.1551,-0.3218,0.5499,0.5909,0.6127,-0.3152,0.6305
"PA14_39640",1.4563,-0.8567,0.5544,-0.6751,0.5184,1.6402,1.0275,1.8462,2.8802,2.2731,3.9356,5.209,3.5492,1.921,2.407,8.1574
"PA14_39650",1.1255,0.4842,0.432,-0.157,0.2339,0.5482,0.5827,0.4828,1.9196,1.0718,1.0205,1.9332,1.277,2.2814,0.4627,3.2265
"PA14_39660",0.2574,-0.2475,0.8361,0.0132,0.1309,-1.6805,0.0887,-1.2344,1.6959,1.3794,1.0641,0.612,1.9208,0.6896,-0.005,1.8697
"PA14_39670",0.6798,0.287,-1.5463,0.1598,0.9997,-0.6745,-0.6745,0.8492,1.1029,1.4449,0.7791,2.398,0.9546,0.6862,1.3541,2.236
"PA14_39690",1.6971,-0.279,-0.1701,-0.6247,1.9791,2.0909,0.1911,0.4434,3.8075,2.8974,2.3544,3.4445,4.9516,3.8444,2.9929,2.6758
"PA14_39700",-2.5357,0.1504,-1.6574,0.6966,-3.1866,-0.2603,0.2177,0.7149,0.8742,0.3918,0.8629,0.6172,-1.1623,0.1944,-0.2982,0.4515
"PA14_39710",-2.4585,-0.1417,0.143,0.6138,-3.3465,-1.0168,-0.4822,0.1536,-0.9615,-0.6896,-1.2703,-0.1023,-1.7262,-1.1665,-1.4361,-0.8029
"PA14_39720",0.3541,-0.241,0.2507,-0.4704,-1.0263,-0.9649,0.208,0.009,0.0336,-1.0464,-0.5955,0.4132,-0.6332,-0.72,-2.0423,1.3117
"PA14_39730",0.1154,0.9626,0.7697,-1.2231,-1.9654,-0.1842,-0.4859,-1.2836,0.0219,0.256,-1.3704,-1.0222,0.4537,-0.9056,-0.7037,2.844
"PA14_39750",0.6989,0.5375,-0.0089,0.3106,-0.0156,0.1688,0.3834,-0.6057,0.9428,0.5544,0.9521,1.2723,0.9891,0.4753,0.0901,1.8374
"PA14_39770",0.7989,-0.2877,-0.1833,-0.9191,0.8284,0.7555,0.3786,-0.7893,1.1245,0.8667,0.0859,0.1511,1.3148,0.8139,0.4269,0.7962
"PA14_39780",0.4314,0.3016,0.4545,-0.5827,0.2354,0.768,0.3455,-0.8169,0.6462,0.2186,-0.3092,-0.0919,1.5852,0.2899,-1.0726,1.578
"PA14_39790",0.2779,-1.4667,0.1319,-1.6314,-2.0563,-1.6254,-3.2553,-1.7035,-6.2329,-7.314,-10.3127,-7.1291,-8.2777,-7.6937,-6.2546,-7.1822
"PA14_39800",-1.5463,-0.1251,1.8007,0.8782,-2.2123,-5.4429,-0.1741,-0.6748,-3.2128,-3.9538,-3.7288,-2.6701,-4.539,-2.9404,-4.6588,-3.2825
"PA14_39810",-0.2852,0.303,0.0871,-0.037,-0.3921,-0.6349,0.1429,0.1268,-0.5717,-1.3927,-1.5113,-0.9211,-0.7344,-2.6148,-1.5657,-0.7691
"PA14_39820",0.7473,0.6764,1.0375,0.1046,0.1033,1.1651,0.8931,0.1001,1.8113,0.6731,1.1056,2.276,0.7646,1.6862,0.2207,2.459
"PA14_39830",-0.2146,3.7596,-0.8897,1.3984,0.4768,-1.0895,3.4317,1.2875,1.8571,2.2794,1.9783,4.0447,0.9731,2.339,2.6201,3.546
"PA14_39850",0.9277,0.5954,-1.0662,-1.6699,0.7536,1.1562,0.0467,0.1874,2.6145,1.4819,0.6163,2.0137,1.2777,1.5318,0.0602,2.0583
"PA14_39860",1.5048,0.3473,0.9972,-0.3469,0.4955,-0.1352,0.2153,0.492,2.1338,1.9861,0.7594,2.0858,1.8796,2.3855,0.6341,3.0268
"PA14_39870",-1.1534,-0.1521,-0.3691,0.0119,0.549,-2.3856,0.8405,0.762,-0.661,1.2714,-0.361,-0.0241,-0.1326,0.908,-1.4803,0.2689
"PA14_39880",-0.888,0.2326,-0.812,0.1968,-1.0312,-2.2758,-0.3245,0.2886,0.6487,0.473,0.7864,1.2183,1.1243,1.5734,0.96,3.2831
"PA14_39890",-2.7222,2.2648,0.0557,0.4641,-0.6175,-2.9727,-2.1013,0.974,4.0978,3.6948,2.9263,0.2045,4.3135,3.8269,4.1584,4.6961
"PA14_39910",-0.3301,0.8488,-0.7924,-0.0549,-0.1518,0.6707,0.7651,0.1694,0.3651,1.6721,1.4646,1.4036,1.4921,1.3811,1.7423,2.4832
"PA14_39925",-0.0938,0.357,-0.6778,0.7166,-1.2187,-0.8941,-0.5245,-0.6895,-0.9961,-0.6249,0.6823,0.7072,1.0129,2.0018,-0.2331,0.9756
"PA14_39945",-1.6199,0.0886,0.3158,0.2519,-1.3188,-1.7685,0.4307,0.8713,0.0429,0.6114,2.0767,2.9992,2.2813,2.2711,1.8119,2.6396
"PA14_39960",-0.4599,0.9282,0.7633,0.8641,-1.7742,-0.4443,0.0539,0.0314,-0.0533,-1.0356,-0.3727,-1.399,-0.2466,0.9125,1.3511,2.4181
"PA14_39970",-0.8425,-0.2084,0.1599,1.0007,-1.4667,0.0447,0.2858,0.5813,-1.1721,-0.1333,-0.0223,0.5214,0.0221,0.035,0.6459,0.8719
"PA14_39980",-0.1441,-1.1186,-0.6058,-0.9262,-0.2384,-0.148,-2.2125,-1.0781,-0.8889,0.2523,-0.1009,0.4837,-0.6635,-1.3273,-0.9843,0.393
